"","couple","bande","mod","piege","code","date","order","family","genus","species","eff","session","Rspec","Rgen","Rspec_taxon","Rgen_taxon","code2","code3","codex","genus_sp","code2_session","taxon","codeRs","year","subfamily"
"155","2","BE","20m","B","2BE20mB","19/6","Araneae","Araneidae","Nuctenea","umbratica",1,"1","x","x","Araneidae_Nuctenea_umbratica","Araneidae_Nuctenea","2BE20m","2BE","2BEB","Nuctenea umbratica","2BE20m 1","Araneae_Araneidae_Nuctenea_umbratica","S_Araneae_Araneidae_Nuctenea_umbratica","2018",NA
"156","2","BE","20m","B","2BE20mB","19/6","Araneae","Araneidae","","",2,"1","","","Araneidae__","Araneidae_","2BE20m","2BE","2BEB"," ","2BE20m 1","Araneae_Araneidae__","F_Araneae_Araneidae__","2018",NA
"157","2","BE","20m","B","2BE20mB","19/6","Araneae","Linyphiidae","Tenuiphantes","sp.",1,"1","","x","Linyphiidae_Tenuiphantes_sp.","Linyphiidae_Tenuiphantes","2BE20m","2BE","2BEB","Tenuiphantes sp.","2BE20m 1","Araneae_Linyphiidae_Tenuiphantes_sp.","G_Araneae_Linyphiidae_Tenuiphantes_sp.","2018",NA
"158","2","BE","20m","B","2BE20mB","19/6","Araneae","Salticidae","Leptorchestes","berolinensis",1,"1","x","x","Salticidae_Leptorchestes_berolinensis","Salticidae_Leptorchestes","2BE20m","2BE","2BEB","Leptorchestes berolinensis","2BE20m 1","Araneae_Salticidae_Leptorchestes_berolinensis","S_Araneae_Salticidae_Leptorchestes_berolinensis","2018",NA
"159","2","BE","20m","B","2BE20mB","19/6","Araneae","Salticidae","Pseudeuophrys","erratica",1,"1","x","x","Salticidae_Pseudeuophrys_erratica","Salticidae_Pseudeuophrys","2BE20m","2BE","2BEB","Pseudeuophrys erratica","2BE20m 1","Araneae_Salticidae_Pseudeuophrys_erratica","S_Araneae_Salticidae_Pseudeuophrys_erratica","2018",NA
"160","2","BE","20m","B","2BE20mB","19/6","Araneae","Thomisidae","Xysticus","sp.",1,"1","","x","Thomisidae_Xysticus_sp.","Thomisidae_Xysticus","2BE20m","2BE","2BEB","Xysticus sp.","2BE20m 1","Araneae_Thomisidae_Xysticus_sp.","G_Araneae_Thomisidae_Xysticus_sp.","2018",NA
"161","2","BE","20m","B","2BE20mB","19/6","Araneae","","","",2,"1","","","__","_","2BE20m","2BE","2BEB"," ","2BE20m 1","Araneae___","O_Araneae___","2018",NA
"162","2","BE","20m","B","2BE20mB","19/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BE20m","2BE","2BEB"," ","2BE20m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"163","2","BE","20m","B","2BE20mB","19/6","Neuroptera","","","",0,"1","","","__","_","2BE20m","2BE","2BEB"," ","2BE20m 1","Neuroptera___","O_Neuroptera___","2018",NA
"164","2","BE","20m","B","2BE20mB","19/6","Opiliones","","","",0,"1","","","__","_","2BE20m","2BE","2BEB"," ","2BE20m 1","Opiliones___","O_Opiliones___","2018",NA
"165","2","BE","00m","F","2BE00mF","19/6","Araneae","Linyphiidae","Tenuiphantes","sp.",1,"1","","x","Linyphiidae_Tenuiphantes_sp.","Linyphiidae_Tenuiphantes","2BE00m","2BE","2BEF","Tenuiphantes sp.","2BE00m 1","Araneae_Linyphiidae_Tenuiphantes_sp.","G_Araneae_Linyphiidae_Tenuiphantes_sp.","2018",NA
"166","2","BE","00m","F","2BE00mF","19/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BE00m","2BE","2BEF"," ","2BE00m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"167","2","BE","00m","F","2BE00mF","19/6","Neuroptera","","","",0,"1","","","__","_","2BE00m","2BE","2BEF"," ","2BE00m 1","Neuroptera___","O_Neuroptera___","2018",NA
"168","2","BE","00m","F","2BE00mF","19/6","Opiliones","","","",0,"1","","","__","_","2BE00m","2BE","2BEF"," ","2BE00m 1","Opiliones___","O_Opiliones___","2018",NA
"169","2","BE","00m","P","2BE00mP","20/6","Araneae","Linyphiidae","Mermessus","trilobatus",2,"1","x","x","Linyphiidae_Mermessus_trilobatus","Linyphiidae_Mermessus","2BE00m","2BE","2BEP","Mermessus trilobatus","2BE00m 1","Araneae_Linyphiidae_Mermessus_trilobatus","S_Araneae_Linyphiidae_Mermessus_trilobatus","2018",NA
"170","2","BE","00m","P","2BE00mP","20/6","Araneae","Linyphiidae","Pelecopsis","parallela",1,"1","x","x","Linyphiidae_Pelecopsis_parallela","Linyphiidae_Pelecopsis","2BE00m","2BE","2BEP","Pelecopsis parallela","2BE00m 1","Araneae_Linyphiidae_Pelecopsis_parallela","S_Araneae_Linyphiidae_Pelecopsis_parallela","2018",NA
"171","2","BE","00m","P","2BE00mP","20/6","Araneae","Linyphiidae","Tenuiphantes","sp.",1,"1","","x","Linyphiidae_Tenuiphantes_sp.","Linyphiidae_Tenuiphantes","2BE00m","2BE","2BEP","Tenuiphantes sp.","2BE00m 1","Araneae_Linyphiidae_Tenuiphantes_sp.","G_Araneae_Linyphiidae_Tenuiphantes_sp.","2018",NA
"172","2","BE","00m","P","2BE00mP","20/6","Araneae","Lycosidae","Trochosa","robusta",1,"1","x","x","Lycosidae_Trochosa_robusta","Lycosidae_Trochosa","2BE00m","2BE","2BEP","Trochosa robusta","2BE00m 1","Araneae_Lycosidae_Trochosa_robusta","S_Araneae_Lycosidae_Trochosa_robusta","2018",NA
"173","2","BE","00m","P","2BE00mP","20/6","Araneae","Lycosidae","Xerolycosa","miniata",1,"1","x","x","Lycosidae_Xerolycosa_miniata","Lycosidae_Xerolycosa","2BE00m","2BE","2BEP","Xerolycosa miniata","2BE00m 1","Araneae_Lycosidae_Xerolycosa_miniata","S_Araneae_Lycosidae_Xerolycosa_miniata","2018",NA
"174","2","BE","00m","P","2BE00mP","20/6","Araneae","Thomisidae","Xysticus","sp.",1,"1","","x","Thomisidae_Xysticus_sp.","Thomisidae_Xysticus","2BE00m","2BE","2BEP","Xysticus sp.","2BE00m 1","Araneae_Thomisidae_Xysticus_sp.","G_Araneae_Thomisidae_Xysticus_sp.","2018",NA
"175","2","BE","00m","P","2BE00mP","20/6","Coleoptera","Carabidae","","",0,"1","","","Carabidae__","Carabidae_","2BE00m","2BE","2BEP"," ","2BE00m 1","Coleoptera_Carabidae__","F_Coleoptera_Carabidae__","2018",NA
"176","2","BE","00m","P","2BE00mP","20/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BE00m","2BE","2BEP"," ","2BE00m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"177","2","BE","00m","P","2BE00mP","20/6","Neuroptera","","","",0,"1","","","__","_","2BE00m","2BE","2BEP"," ","2BE00m 1","Neuroptera___","O_Neuroptera___","2018",NA
"178","2","BE","00m","P","2BE00mP","20/6","Opiliones","","","",0,"1","","","__","_","2BE00m","2BE","2BEP"," ","2BE00m 1","Opiliones___","O_Opiliones___","2018",NA
"179","2","BE","05m","P","2BE05mP","20/6","Araneae","Lycosidae","Trochosa","robusta",2,"1","x","x","Lycosidae_Trochosa_robusta","Lycosidae_Trochosa","2BE05m","2BE","2BEP","Trochosa robusta","2BE05m 1","Araneae_Lycosidae_Trochosa_robusta","S_Araneae_Lycosidae_Trochosa_robusta","2018",NA
"180","2","BE","05m","P","2BE05mP","20/6","Araneae","Lycosidae","Xerolycosa","miniata",1,"1","x","x","Lycosidae_Xerolycosa_miniata","Lycosidae_Xerolycosa","2BE05m","2BE","2BEP","Xerolycosa miniata","2BE05m 1","Araneae_Lycosidae_Xerolycosa_miniata","S_Araneae_Lycosidae_Xerolycosa_miniata","2018",NA
"181","2","BE","05m","P","2BE05mP","20/6","Araneae","Thomisidae","Ozyptila","simplex",2,"1","x","x","Thomisidae_Ozyptila_simplex","Thomisidae_Ozyptila","2BE05m","2BE","2BEP","Ozyptila simplex","2BE05m 1","Araneae_Thomisidae_Ozyptila_simplex","S_Araneae_Thomisidae_Ozyptila_simplex","2018",NA
"182","2","BE","05m","P","2BE05mP","20/6","Coleoptera","Carabidae","Amara","aenea",6,"1","x","x","Carabidae_Amara_aenea","Carabidae_Amara","2BE05m","2BE","2BEP","Amara aenea","2BE05m 1","Coleoptera_Carabidae_Amara_aenea","S_Coleoptera_Carabidae_Amara_aenea","2018",NA
"183","2","BE","05m","P","2BE05mP","20/6","Coleoptera","Carabidae","Amara","sp.",1,"1","","x","Carabidae_Amara_sp.","Carabidae_Amara","2BE05m","2BE","2BEP","Amara sp.","2BE05m 1","Coleoptera_Carabidae_Amara_sp.","G_Coleoptera_Carabidae_Amara_sp.","2018",NA
"184","2","BE","05m","P","2BE05mP","20/6","Coleoptera","Carabidae","Harpalus","pygmaeus",23,"1","x","x","Carabidae_Harpalus_pygmaeus","Carabidae_Harpalus","2BE05m","2BE","2BEP","Harpalus pygmaeus","2BE05m 1","Coleoptera_Carabidae_Harpalus_pygmaeus","S_Coleoptera_Carabidae_Harpalus_pygmaeus","2018",NA
"185","2","BE","05m","P","2BE05mP","20/6","Coleoptera","Carabidae","Metallina","properans",2,"1","x","x","Carabidae_Metallina_properans","Carabidae_Metallina","2BE05m","2BE","2BEP","Metallina properans","2BE05m 1","Coleoptera_Carabidae_Metallina_properans","S_Coleoptera_Carabidae_Metallina_properans","2018",NA
"186","2","BE","05m","P","2BE05mP","20/6","Coleoptera","Carabidae","Stenolophus","teutonus",1,"1","x","x","Carabidae_Stenolophus_teutonus","Carabidae_Stenolophus","2BE05m","2BE","2BEP","Stenolophus teutonus","2BE05m 1","Coleoptera_Carabidae_Stenolophus_teutonus","S_Coleoptera_Carabidae_Stenolophus_teutonus","2018",NA
"187","2","BE","05m","P","2BE05mP","20/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BE05m","2BE","2BEP"," ","2BE05m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"188","2","BE","05m","P","2BE05mP","20/6","Neuroptera","","","",0,"1","","","__","_","2BE05m","2BE","2BEP"," ","2BE05m 1","Neuroptera___","O_Neuroptera___","2018",NA
"189","2","BE","05m","P","2BE05mP","20/6","Opiliones","","","",0,"1","","","__","_","2BE05m","2BE","2BEP"," ","2BE05m 1","Opiliones___","O_Opiliones___","2018",NA
"190","2","BE","20m","P","2BE20mP","20/6","Araneae","Linyphiidae","Mermessus","trilobatus",1,"1","x","x","Linyphiidae_Mermessus_trilobatus","Linyphiidae_Mermessus","2BE20m","2BE","2BEP","Mermessus trilobatus","2BE20m 1","Araneae_Linyphiidae_Mermessus_trilobatus","S_Araneae_Linyphiidae_Mermessus_trilobatus","2018",NA
"191","2","BE","20m","P","2BE20mP","20/6","Araneae","Linyphiidae","Pelecopsis","parallela",1,"1","x","x","Linyphiidae_Pelecopsis_parallela","Linyphiidae_Pelecopsis","2BE20m","2BE","2BEP","Pelecopsis parallela","2BE20m 1","Araneae_Linyphiidae_Pelecopsis_parallela","S_Araneae_Linyphiidae_Pelecopsis_parallela","2018",NA
"192","2","BE","20m","P","2BE20mP","20/6","Araneae","Lycosidae","Trochosa","robusta",3,"1","x","x","Lycosidae_Trochosa_robusta","Lycosidae_Trochosa","2BE20m","2BE","2BEP","Trochosa robusta","2BE20m 1","Araneae_Lycosidae_Trochosa_robusta","S_Araneae_Lycosidae_Trochosa_robusta","2018",NA
"193","2","BE","20m","P","2BE20mP","20/6","Araneae","Lycosidae","Xerolycosa","miniata",2,"1","x","x","Lycosidae_Xerolycosa_miniata","Lycosidae_Xerolycosa","2BE20m","2BE","2BEP","Xerolycosa miniata","2BE20m 1","Araneae_Lycosidae_Xerolycosa_miniata","S_Araneae_Lycosidae_Xerolycosa_miniata","2018",NA
"194","2","BE","20m","P","2BE20mP","20/6","Coleoptera","Carabidae","Harpalus","affinis",4,"1","x","x","Carabidae_Harpalus_affinis","Carabidae_Harpalus","2BE20m","2BE","2BEP","Harpalus affinis","2BE20m 1","Coleoptera_Carabidae_Harpalus_affinis","S_Coleoptera_Carabidae_Harpalus_affinis","2018",NA
"195","2","BE","20m","P","2BE20mP","20/6","Coleoptera","Carabidae","Harpalus","pygmaeus",16,"1","x","x","Carabidae_Harpalus_pygmaeus","Carabidae_Harpalus","2BE20m","2BE","2BEP","Harpalus pygmaeus","2BE20m 1","Coleoptera_Carabidae_Harpalus_pygmaeus","S_Coleoptera_Carabidae_Harpalus_pygmaeus","2018",NA
"196","2","BE","20m","P","2BE20mP","20/6","Coleoptera","Carabidae","Metallina","properans",2,"1","x","x","Carabidae_Metallina_properans","Carabidae_Metallina","2BE20m","2BE","2BEP","Metallina properans","2BE20m 1","Coleoptera_Carabidae_Metallina_properans","S_Coleoptera_Carabidae_Metallina_properans","2018",NA
"197","2","BE","20m","P","2BE20mP","20/6","Coleoptera","Carabidae","Ophonus","gr._puncticeps",1,"1","x","x","Carabidae_Ophonus_gr._puncticeps","Carabidae_Ophonus","2BE20m","2BE","2BEP","Ophonus gr._puncticeps","2BE20m 1","Coleoptera_Carabidae_Ophonus_gr._puncticeps","S_Coleoptera_Carabidae_Ophonus_gr._puncticeps","2018",NA
"198","2","BE","20m","P","2BE20mP","20/6","Coleoptera","Carabidae","Pseudoophonus","rufipes",1,"1","x","x","Carabidae_Pseudoophonus_rufipes","Carabidae_Pseudoophonus","2BE20m","2BE","2BEP","Pseudoophonus rufipes","2BE20m 1","Coleoptera_Carabidae_Pseudoophonus_rufipes","S_Coleoptera_Carabidae_Pseudoophonus_rufipes","2018",NA
"199","2","BE","20m","P","2BE20mP","20/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BE20m","2BE","2BEP"," ","2BE20m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"200","2","BE","20m","P","2BE20mP","20/6","Neuroptera","","","",0,"1","","","__","_","2BE20m","2BE","2BEP"," ","2BE20m 1","Neuroptera___","O_Neuroptera___","2018",NA
"201","2","BE","20m","P","2BE20mP","20/6","Opiliones","","","",0,"1","","","__","_","2BE20m","2BE","2BEP"," ","2BE20m 1","Opiliones___","O_Opiliones___","2018",NA
"202","2","BF","00m","B","2BF00mB","19/6","Araneae","Araneidae","Araneus","sp.",2,"1","","x","Araneidae_Araneus_sp.","Araneidae_Araneus","2BF00m","2BF","2BFB","Araneus sp.","2BF00m 1","Araneae_Araneidae_Araneus_sp.","G_Araneae_Araneidae_Araneus_sp.","2018",NA
"203","2","BF","00m","B","2BF00mB","19/6","Araneae","Linyphiidae","Tenuiphantes","sp.",1,"1","","x","Linyphiidae_Tenuiphantes_sp.","Linyphiidae_Tenuiphantes","2BF00m","2BF","2BFB","Tenuiphantes sp.","2BF00m 1","Araneae_Linyphiidae_Tenuiphantes_sp.","G_Araneae_Linyphiidae_Tenuiphantes_sp.","2018",NA
"204","2","BF","00m","B","2BF00mB","19/6","Araneae","Thomisidae","Xysticus","sp.",2,"1","","x","Thomisidae_Xysticus_sp.","Thomisidae_Xysticus","2BF00m","2BF","2BFB","Xysticus sp.","2BF00m 1","Araneae_Thomisidae_Xysticus_sp.","G_Araneae_Thomisidae_Xysticus_sp.","2018",NA
"205","2","BF","00m","B","2BF00mB","19/6","Araneae","","","",2,"1","","","__","_","2BF00m","2BF","2BFB"," ","2BF00m 1","Araneae___","O_Araneae___","2018",NA
"206","2","BF","00m","B","2BF00mB","19/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BF00m","2BF","2BFB"," ","2BF00m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"207","2","BF","00m","B","2BF00mB","19/6","Neuroptera","","","",0,"1","","","__","_","2BF00m","2BF","2BFB"," ","2BF00m 1","Neuroptera___","O_Neuroptera___","2018",NA
"208","2","BF","00m","B","2BF00mB","19/6","Opiliones","Phalangiidae","Phalangium","opilio",1,"1","x","x","Phalangiidae_Phalangium_opilio","Phalangiidae_Phalangium","2BF00m","2BF","2BFB","Phalangium opilio","2BF00m 1","Opiliones_Phalangiidae_Phalangium_opilio","S_Opiliones_Phalangiidae_Phalangium_opilio","2018",NA
"209","2","BF","05m","B","2BF05mB","19/6","Araneae","Linyphiidae","Agyneta","sp.",1,"1","","x","Linyphiidae_Agyneta_sp.","Linyphiidae_Agyneta","2BF05m","2BF","2BFB","Agyneta sp.","2BF05m 1","Araneae_Linyphiidae_Agyneta_sp.","G_Araneae_Linyphiidae_Agyneta_sp.","2018",NA
"210","2","BF","05m","B","2BF05mB","19/6","Araneae","Linyphiidae","Mermessus","trilobatus",1,"1","x","x","Linyphiidae_Mermessus_trilobatus","Linyphiidae_Mermessus","2BF05m","2BF","2BFB","Mermessus trilobatus","2BF05m 1","Araneae_Linyphiidae_Mermessus_trilobatus","S_Araneae_Linyphiidae_Mermessus_trilobatus","2018",NA
"211","2","BF","05m","B","2BF05mB","19/6","Araneae","Linyphiidae","Tenuiphantes","sp.",3,"1","","x","Linyphiidae_Tenuiphantes_sp.","Linyphiidae_Tenuiphantes","2BF05m","2BF","2BFB","Tenuiphantes sp.","2BF05m 1","Araneae_Linyphiidae_Tenuiphantes_sp.","G_Araneae_Linyphiidae_Tenuiphantes_sp.","2018",NA
"212","2","BF","05m","B","2BF05mB","19/6","Araneae","Salticidae","Pseudicius","encarpatus",1,"1","x","x","Salticidae_Pseudicius_encarpatus","Salticidae_Pseudicius","2BF05m","2BF","2BFB","Pseudicius encarpatus","2BF05m 1","Araneae_Salticidae_Pseudicius_encarpatus","S_Araneae_Salticidae_Pseudicius_encarpatus","2018",NA
"213","2","BF","05m","B","2BF05mB","19/6","Araneae","Salticidae","Salticus","sp.",1,"1","","x","Salticidae_Salticus_sp.","Salticidae_Salticus","2BF05m","2BF","2BFB","Salticus sp.","2BF05m 1","Araneae_Salticidae_Salticus_sp.","G_Araneae_Salticidae_Salticus_sp.","2018",NA
"214","2","BF","05m","B","2BF05mB","19/6","Araneae","Theridiidae","Enoplognatha","sp.",1,"1","","x","Theridiidae_Enoplognatha_sp.","Theridiidae_Enoplognatha","2BF05m","2BF","2BFB","Enoplognatha sp.","2BF05m 1","Araneae_Theridiidae_Enoplognatha_sp.","G_Araneae_Theridiidae_Enoplognatha_sp.","2018",NA
"215","2","BF","05m","B","2BF05mB","19/6","Araneae","Thomisidae","Xysticus","sp.",1,"1","","x","Thomisidae_Xysticus_sp.","Thomisidae_Xysticus","2BF05m","2BF","2BFB","Xysticus sp.","2BF05m 1","Araneae_Thomisidae_Xysticus_sp.","G_Araneae_Thomisidae_Xysticus_sp.","2018",NA
"216","2","BF","05m","B","2BF05mB","19/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BF05m","2BF","2BFB"," ","2BF05m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"217","2","BF","05m","B","2BF05mB","19/6","Neuroptera","","","",0,"1","","","__","_","2BF05m","2BF","2BFB"," ","2BF05m 1","Neuroptera___","O_Neuroptera___","2018",NA
"218","2","BF","05m","B","2BF05mB","19/6","Opiliones","","","",0,"1","","","__","_","2BF05m","2BF","2BFB"," ","2BF05m 1","Opiliones___","O_Opiliones___","2018",NA
"219","2","BF","20m","B","2BF20mB","19/6","Araneae","Araneidae","","",1,"1","","","Araneidae__","Araneidae_","2BF20m","2BF","2BFB"," ","2BF20m 1","Araneae_Araneidae__","F_Araneae_Araneidae__","2018",NA
"220","2","BF","20m","B","2BF20mB","19/6","Araneae","Linyphiidae","Araeoncus","humilis",1,"1","x","x","Linyphiidae_Araeoncus_humilis","Linyphiidae_Araeoncus","2BF20m","2BF","2BFB","Araeoncus humilis","2BF20m 1","Araneae_Linyphiidae_Araeoncus_humilis","S_Araneae_Linyphiidae_Araeoncus_humilis","2018",NA
"221","2","BF","20m","B","2BF20mB","19/6","Araneae","Linyphiidae","Mermessus","trilobatus",1,"1","x","x","Linyphiidae_Mermessus_trilobatus","Linyphiidae_Mermessus","2BF20m","2BF","2BFB","Mermessus trilobatus","2BF20m 1","Araneae_Linyphiidae_Mermessus_trilobatus","S_Araneae_Linyphiidae_Mermessus_trilobatus","2018",NA
"222","2","BF","20m","B","2BF20mB","19/6","Araneae","Linyphiidae","Tenuiphantes","sp.",2,"1","","x","Linyphiidae_Tenuiphantes_sp.","Linyphiidae_Tenuiphantes","2BF20m","2BF","2BFB","Tenuiphantes sp.","2BF20m 1","Araneae_Linyphiidae_Tenuiphantes_sp.","G_Araneae_Linyphiidae_Tenuiphantes_sp.","2018",NA
"223","2","BF","20m","B","2BF20mB","19/6","Araneae","Salticidae","Pseudeuophrys","erratica",1,"1","x","x","Salticidae_Pseudeuophrys_erratica","Salticidae_Pseudeuophrys","2BF20m","2BF","2BFB","Pseudeuophrys erratica","2BF20m 1","Araneae_Salticidae_Pseudeuophrys_erratica","S_Araneae_Salticidae_Pseudeuophrys_erratica","2018",NA
"224","2","BF","20m","B","2BF20mB","19/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BF20m","2BF","2BFB"," ","2BF20m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"225","2","BF","20m","B","2BF20mB","19/6","Neuroptera","","","",0,"1","","","__","_","2BF20m","2BF","2BFB"," ","2BF20m 1","Neuroptera___","O_Neuroptera___","2018",NA
"226","2","BF","20m","B","2BF20mB","19/6","Opiliones","Phalangiidae","Phalangium","opilio",1,"1","x","x","Phalangiidae_Phalangium_opilio","Phalangiidae_Phalangium","2BF20m","2BF","2BFB","Phalangium opilio","2BF20m 1","Opiliones_Phalangiidae_Phalangium_opilio","S_Opiliones_Phalangiidae_Phalangium_opilio","2018",NA
"227","2","BF","00m","F","2BF00mF","19/6","Araneae","Linyphiidae","","",1,"1","","","Linyphiidae__","Linyphiidae_","2BF00m","2BF","2BFF"," ","2BF00m 1","Araneae_Linyphiidae__","F_Araneae_Linyphiidae__","2018",NA
"228","2","BF","00m","F","2BF00mF","19/6","Araneae","Thomisidae","Xysticus","sp.",3,"1","","x","Thomisidae_Xysticus_sp.","Thomisidae_Xysticus","2BF00m","2BF","2BFF","Xysticus sp.","2BF00m 1","Araneae_Thomisidae_Xysticus_sp.","G_Araneae_Thomisidae_Xysticus_sp.","2018",NA
"229","2","BF","00m","F","2BF00mF","19/6","Dermaptera","Forficulidae","","",0,"1","","","Forficulidae__","Forficulidae_","2BF00m","2BF","2BFF"," ","2BF00m 1","Dermaptera_Forficulidae__","F_Dermaptera_Forficulidae__","2018",NA
"230","2","BF","00m","F","2BF00mF","19/6","Neuroptera","","","",0,"1","","","__","_","2BF00m","2BF","2BFF"," ","2BF00m 1","Neuroptera___","O_Neuroptera___","2018",NA
"231","2","BF","00m","F","2BF00mF","19/6","Opiliones","Phalangiidae","","",1,"1","","","Phalangiidae__","Phalangiidae_","2BF00m","2BF","2BFF"," ","2BF00m 1","Opiliones_Phalangiidae__","F_Opiliones_Phalangiidae__","2018",NA
"232","2","BF","00m","P","2BF00mP","20/6","Araneae","Gnaphosidae","Drassylus","praeficus",1,"1","x","x","Gnaphosidae_Drassylus_praeficus","Gnaphosidae_Drassylus","2BF00m","2BF","2BFP","Drassylus praeficus","2BF00m 1","Araneae_Gnaphosidae_Drassylus_praeficus","S_Araneae_Gnaphosidae_Drassylus_praeficus","2018",NA
